ELR Date,Test Result,ELR Count
3/12/21,Negative Tests,13939
3/14/21,Negative Tests,6806
3/14/21,Positive Tests,193
3/19/21,Negative Tests,16211
3/19/21,Positive Tests,527
3/21/21,Positive Tests,224
3/21/21,Negative Tests,7277
3/28/21,Positive Tests,257
3/28/21,Negative Tests,6669
3/30/21,Positive Tests,700
3/30/21,Negative Tests,13308
4/6/21,Positive Tests,661
4/6/21,Negative Tests,12856
4/8/21,Negative Tests,15529
4/8/21,Positive Tests,838
4/13/21,Negative Tests,16233
4/13/21,Positive Tests,1179
4/15/21,Positive Tests,1020
4/15/21,Negative Tests,20513
4/22/21,Positive Tests,1203
4/22/21,Negative Tests,16825
4/24/21,Positive Tests,958
4/24/21,Negative Tests,11507
5/1/21,Positive Tests,830
5/1/21,Negative Tests,10071
5/3/21,Negative Tests,14252
5/3/21,Positive Tests,941
5/8/21,Negative Tests,10638
5/8/21,Positive Tests,669
12/22/20,Positive Tests,2001
12/23/20,Negative Tests,20700
12/23/20,Positive Tests,1594
12/24/20,Positive Tests,1637
12/24/20,Negative Tests,25652
1/7/21,Negative Tests,25381
1/7/21,Positive Tests,2227
1/8/21,Negative Tests,26243
1/8/21,Positive Tests,2100
1/9/21,Negative Tests,13624
1/9/21,Positive Tests,1228
1/10/21,Positive Tests,1123
1/10/21,Negative Tests,12354
1/24/21,Negative Tests,7808
1/24/21,Positive Tests,405
1/25/21,Negative Tests,24751
1/25/21,Positive Tests,1340
1/26/21,Negative Tests,18388
1/26/21,Positive Tests,979
1/27/21,Positive Tests,909
1/27/21,Negative Tests,10065
2/9/21,Positive Tests,621
2/9/21,Negative Tests,16754
2/10/21,Negative Tests,21219
2/10/21,Positive Tests,759
2/11/21,Negative Tests,20211
2/11/21,Positive Tests,826
2/12/21,Negative Tests,15629
2/12/21,Positive Tests,530
2/26/21,Negative Tests,15595
2/26/21,Positive Tests,472
2/27/21,Negative Tests,9986
2/27/21,Positive Tests,350
2/28/21,Negative Tests,7960
2/28/21,Positive Tests,297
3/1/21,Positive Tests,346
3/1/21,Negative Tests,11610
3/15/21,Negative Tests,23465
3/15/21,Positive Tests,522
3/16/21,Negative Tests,8448
3/16/21,Positive Tests,305
3/17/21,Negative Tests,17203
3/17/21,Positive Tests,598
3/18/21,Positive Tests,553
3/18/21,Negative Tests,16930
3/31/21,Positive Tests,664
3/31/21,Negative Tests,17007
4/1/21,Negative Tests,14453
4/1/21,Positive Tests,681
4/2/21,Negative Tests,14695
4/2/21,Positive Tests,621
4/3/21,Negative Tests,10849
4/3/21,Positive Tests,525
4/4/21,Positive Tests,364
4/4/21,Negative Tests,7424
4/17/21,Positive Tests,835
4/17/21,Negative Tests,11416
4/18/21,Negative Tests,8567
4/18/21,Positive Tests,645
4/19/21,Negative Tests,9240
4/19/21,Positive Tests,625
4/20/21,Positive Tests,2098
4/20/21,Negative Tests,30740
5/4/21,Negative Tests,16034
5/4/21,Positive Tests,987
5/5/21,Negative Tests,14631
5/5/21,Positive Tests,939
5/6/21,Negative Tests,21236
5/6/21,Positive Tests,1323
5/7/21,Positive Tests,1097
5/7/21,Negative Tests,18266
